gpsTime, uid, latitude, longitude, altitude, rssi
0000-01-02 12:59:44.000, 1435706f, null, null, null, {}
0000-01-01 14:33:04.000, 1435706f, null, null, null, {Port 1: -57}
0000-01-01 14:34:16.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -57}
0000-01-01 14:34:18.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -56}
0000-01-02 12:59:44.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.96850800000001, {Port 1: -56}
0000-01-01 14:34:44.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -64}
0000-01-01 14:34:45.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -64}
0000-01-01 14:34:47.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -62}
0000-01-01 14:34:49.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -62}
0000-01-01 14:34:51.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -57, Port 2: -63}
0000-01-01 14:34:53.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -59}
0000-01-01 14:34:55.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -56, Port 2: -62}
0000-01-01 14:34:57.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -58, Port 2: -64}
0000-01-01 14:34:59.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -57, Port 2: -57}
0000-01-01 14:35:01.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.64042400000001, {Port 1: -60, Port 2: -54}
0000-01-01 14:35:03.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -63, Port 2: -56}
0000-01-01 14:35:05.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -57, Port 2: -61}
0000-01-01 14:35:07.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -57, Port 2: -61}
0000-01-01 14:35:09.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -55, Port 2: -55}
0000-01-01 14:35:11.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -56, Port 2: -56}
0000-01-01 14:35:13.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -56, Port 2: -55}
0000-01-01 14:35:15.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -57, Port 2: -57}
0000-01-01 14:35:17.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -56, Port 2: -55}
0000-01-01 14:35:19.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -57, Port 2: -57}
0000-01-01 14:35:21.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -56, Port 2: -57}
0000-01-01 14:35:23.000, 1435706f, -37.54897666666667, 175.26211666666666, 126.31234, {Port 1: -56, Port 2: -56}
0000-01-01 14:35:25.000, 1435706f, -37.54897666666667, 175.26211666666666, 125.98425599999999, {Port 1: -57, Port 2: -55}
0000-01-01 14:35:27.000, 1435706f, -37.54897666666667, 175.26211666666666, 125.98425599999999, {Port 1: -57, Port 2: -57}
0000-01-01 14:35:29.000, 1435706f, -37.54897666666667, 175.26211666666666, 125.98425599999999, {Port 1: -57, Port 2: -56}
0000-01-01 14:35:31.000, 1435706f, -37.54897833333333, 175.26211666666666, 125.98425599999999, {Port 1: -57, Port 2: -56}
0000-01-01 14:35:33.000, 1435706f, -37.54897833333333, 175.26211666666666, 125.98425599999999, {Port 1: -58, Port 2: -57}
0000-01-01 14:35:35.000, 1435706f, -37.54897833333333, 175.26211666666666, 125.98425599999999, {Port 1: -56, Port 2: -56}
0000-01-01 14:35:37.000, 1435706f, -37.54897833333333, 175.26211666666666, 125.98425599999999, {Port 1: -57, Port 2: -56}
0000-01-01 14:35:39.000, 1435706f, -37.54897833333333, 175.26211666666666, 125.98425599999999, {Port 1: -57, Port 2: -57}
0000-01-01 14:35:41.000, 1435706f, -37.54897833333333, 175.26211666666666, 125.98425599999999, {Port 1: -57, Port 2: -58}
0000-01-01 14:35:43.000, 1435706f, -37.54897833333333, 175.26211666666666, 125.98425599999999, {Port 1: -56, Port 2: -57}
0000-01-01 14:35:45.000, 1435706f, -37.54897833333333, 175.26211666666666, 125.98425599999999, {Port 1: -56, Port 2: -56}
0000-01-01 14:35:47.000, 1435706f, -37.54897833333333, 175.262115, 125.98425599999999, {Port 1: -57, Port 2: -57}
0000-01-01 14:35:49.000, 1435706f, -37.54897833333333, 175.262115, 125.98425599999999, {Port 1: -56, Port 2: -57}
0000-01-01 14:35:51.000, 1435706f, -37.54897833333333, 175.262115, 125.98425599999999, {Port 1: -56, Port 2: -56}
0000-01-01 14:35:53.000, 1435706f, -37.54897833333333, 175.262115, 125.98425599999999, {Port 1: -57, Port 2: -56}
0000-01-01 14:35:55.000, 1435706f, -37.54897833333333, 175.262115, 125.98425599999999, {Port 1: -57, Port 2: -56}
0000-01-01 14:35:57.000, 1435706f, -37.54897833333333, 175.262115, 125.98425599999999, {Port 1: -57, Port 2: -57}
0000-01-01 14:35:59.000, 1435706f, -37.54897833333333, 175.262115, 125.98425599999999, {Port 1: -57, Port 2: -56}
0000-01-01 14:36:01.000, 1435706f, -37.54897833333333, 175.262115, 125.98425599999999, {Port 1: -56, Port 2: -56}
0000-01-01 14:36:03.000, 1435706f, -37.54897833333333, 175.262115, 125.65617199999998, {Port 1: -56, Port 2: -56}
0000-01-01 14:36:05.000, 1435706f, -37.54897833333333, 175.262115, 125.65617199999998, {Port 1: -56, Port 2: -57}
0000-01-01 14:36:07.000, 1435706f, -37.54897833333333, 175.262115, 125.65617199999998, {Port 1: -57, Port 2: -56}
0000-01-01 14:36:08.000, 1435706f, -37.54898, 175.26211666666666, 124.343836, {Port 1: -57, Port 2: -56}
0000-01-01 14:36:10.000, 1435706f, -37.54898166666667, 175.26212, 123.0315, {Port 1: -56, Port 2: -55}
0000-01-01 14:36:12.000, 1435706f, -37.54898166666667, 175.26212166666667, 122.04724800000001, {Port 1: -56, Port 2: -56}
0000-01-01 14:36:14.000, 1435706f, -37.54898333333333, 175.26212333333334, 121.062996, {Port 1: -56, Port 2: -57}
0000-01-01 14:36:16.000, 1435706f, -37.54898333333333, 175.262125, 119.75066, {Port 1: -56, Port 2: -55}
0000-01-01 14:36:18.000, 1435706f, -37.54898333333333, 175.262125, 118.76640800000001, {Port 1: -56, Port 2: -56}
0000-01-01 14:36:20.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -58, Port 2: -56}
0000-01-01 14:36:22.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -55}
0000-01-01 14:36:24.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -56}
0000-01-01 14:36:26.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -56, Port 2: -56}
0000-01-01 14:36:28.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -57}
0000-01-01 14:36:30.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -56, Port 2: -56}
0000-01-01 14:36:32.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -57}
0000-01-01 14:36:34.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -57}
0000-01-01 14:36:36.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -57}
0000-01-01 14:36:38.000, 1435706f, -37.548985, 175.26212666666666, 118.11024, {Port 1: -57, Port 2: -57}
